ACDate,UserID,UserName,Name,DescPol,UserDesc,Country,PlaceType,Coord,Verified,NrFollowers
2010-08-11 10:07:11,177137149,FemiAbodunde,👁️,0.042,Peaceful Warrior #American by birth🗽#African by blood💯 5 passports. I RT my posts/comments cos I'm telling short stories. Concordia☯️ Integritas⚖️ Industria💜,Top Secret Location in West Africa,None,None,False,3765
2011-11-11 03:06:04,409694977,lovelyyjaackie,J 👑,0.0,future surgical tech twenty one blessed,None,None,None,False,101
2014-09-27 09:40:10,2786931641,_stalex,YaMomAHoe,0.0,#LGCYPower,United States,None,None,False,344
2013-02-04 14:16:23,1148115822,spidemwn,b,0.0,stressed out pra caralho // fan account,ella's wife bea's twin,None,None,False,8553
2013-01-17 23:23:45,1099523366,aawnclifford,midoriya parker,0.0,sept 14th '17 always in my heart × fan account idk?????,cascahell,None,None,False,4008
2015-01-05 16:56:48,2962306941,gnomoespinosa,Shuri,0.0,fan account nessa merda,wakanda semi destru por thanos,None,None,False,407
2018-03-24 11:26:52,977507030402396161,RORO91492463,AbnoyAkoDiBa?,0.0,None,"Central Region, Singapore",None,None,False,32
2013-09-29 18:11:31,1917739236,fatoumaxo_,fvlani 🇲🇱🇳🇪,0.028,19 y/o black muslim. I’m woke and funny. ig: @fatoumaxo_,Jeddah × Dakar,None,None,False,1840
2016-02-17 18:11:25,4924696121,jamiekent69,jamie kent,0.0,if your looking for a man to lose every accumulator over one team im your guy,None,None,None,False,1085
2009-02-22 18:24:48,21584831,saucissonsec,Jam Today,0.0,The wages of slatternliness is cats.,None,None,None,False,1945
2009-05-18 17:06:04,40915640,FlinnerFoto,DeborrahFlinnerCohen,0.0,Photographer.....I♥️NYC.....Food....Travel...and my Husband!,NYC,None,None,False,51
2015-01-27 18:20:39,3001790093,Sehej15,SID,0.25,Chelsea is my first love PS4 is my second,None,None,None,False,348
2017-05-07 08:55:10,861142351984693248,blink182gem,Gem Gems (Mason),0.152,"Potty mouth from Hull who loves pints, decent gin & Rugby League⚫⚪  *new twitter page*","Hull, England",None,None,False,353
2018-04-18 08:35:58,986523722566782976,Christa00316039,Christa House,0.0,None,None,None,None,False,0
